"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual","Sequence_movement"
1134300,1137210,""," 1","Fajar","56_LOCOMOTE_forelimb_swing"
1178040,1180820,""," 2","Fajar","56_LOCOMOTE_forelimb_swing"
1248200,1250880,""," 3","Fajar","4_Bimanual_forelimb_suspend"
1305350,1308210,""," 4","Fajar","56_LOCOMOTE_forelimb_swing"
1346130,1348910,""," 5","Fajar","56_LOCOMOTE_forelimb_swing"
1441260,1443690,""," 6","Fajar","26_LOCOMOTE_Bimanual_pull_up"
1511280,1514400,""," 7","Fajar","4_Bimanual_forelimb_suspend"
1609450,1612630,""," 8","Fajar","110_LOCOMOTE_Drop_forelimb_swing"
1659610,1662620,""," 9","Fajar","4_Bimanual_forelimb_suspend"
1732160,1735450,""," 10","Fajar","4_Bimanual_forelimb_suspend"
1775450,1778510,""," 11","Fajar",
1820280,1823420,""," 12","Fajar",
1875890,1879040,"","13","Fajar",""
1926520,1929690,""," 14","Fajar","112_LOCOMOTE_Clamber_walk"
1973140,1976400,""," 15","Fajar",
2047720,2050770,""," 16","Fajar",
2090770,2094010,""," 17","Fajar","111_LOCOMOTE_Vertical_climb"
2135390,2138715,""," 18","Fajar","111_LOCOMOTE_Vertical_climb"

